metric,value
coverage,0.8888888888888888
precision,1.0
recall,0.8888888888888888
errors,{"hallucinations": 0, "plausible_out_of_ontology": 0, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,58
structural.hierarchy_coverage,1.015625
extraction_only.coverage,0.5138888888888888
extraction_only.precision,1.0
extraction_only.recall,0.5138888888888888
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,40
extraction_only.structural.hierarchy_coverage,1.135135135135135
extraction_only.relations.n_generated,15
extraction_only.relations.n_gold,16
extraction_only.relations.precision,1.0
extraction_only.relations.recall,0.6875
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,True
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,True
extraction_only.relations.per_gold_relation.has timepoint,True
extraction_only.relations.per_gold_relation.has observation,True
extraction_only.relations.per_gold_relation.measures parameter,True
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.8888888888888888
clinical_only.precision,1.0
clinical_only.recall,0.8888888888888888
relations.n_generated,6
relations.n_gold,16
relations.precision,1.0
relations.recall,0.3125
relations.per_gold_relation.has monitoring data,False
relations.per_gold_relation.receives therapy,False
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,False
relations.per_gold_relation.has outcome,False
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,True
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,58
hierarchy.n_gold,57
hierarchy.precision,0.9828
hierarchy.recall,1.0
hierarchy.matched,57
by_stratum.core.n_generated,36
by_stratum.core.precision,1.0
by_stratum.core.recall,0.5
by_stratum.core.coverage,0.5
by_stage.extraction.n_classes,37
by_stage.extraction.n_relations,15
by_stage.extraction.n_hierarchy,40
by_stage.extraction.coverage,0.5139
by_stage.extraction.precision,1.0
by_stage.extraction.recall,0.5139
by_stage.extraction.relation_recall,0.6875
by_stage.extraction.relation_precision,1.0
by_stage.extraction.hierarchy_recall,0.2105
by_stage.extraction.hierarchy_precision,0.3
by_stage.after_sgc.n_classes,74
by_stage.after_sgc.n_relations,15
by_stage.after_sgc.n_hierarchy,40
by_stage.after_sgc.coverage,1.0
by_stage.after_sgc.precision,1.0
by_stage.after_sgc.recall,1.0
by_stage.after_sgc.relation_recall,0.6875
by_stage.after_sgc.relation_precision,1.0
by_stage.after_sgc.hierarchy_recall,0.2105
by_stage.after_sgc.hierarchy_precision,0.3
by_stage.after_cleanup.n_classes,71
by_stage.after_cleanup.n_relations,6
by_stage.after_cleanup.n_hierarchy,14
by_stage.after_cleanup.coverage,0.9861
by_stage.after_cleanup.precision,1.0
by_stage.after_cleanup.recall,0.9861
by_stage.after_cleanup.relation_recall,0.3125
by_stage.after_cleanup.relation_precision,1.0
by_stage.after_cleanup.hierarchy_recall,0.2281
by_stage.after_cleanup.hierarchy_precision,0.9286
by_stage.after_rule_based.n_classes,71
by_stage.after_rule_based.n_relations,6
by_stage.after_rule_based.n_hierarchy,58
by_stage.after_rule_based.coverage,0.9861
by_stage.after_rule_based.precision,1.0
by_stage.after_rule_based.recall,0.9861
by_stage.after_rule_based.relation_recall,0.3125
by_stage.after_rule_based.relation_precision,1.0
by_stage.after_rule_based.hierarchy_recall,1.0
by_stage.after_rule_based.hierarchy_precision,0.9828
by_stage.after_gold_filter.n_classes,64
by_stage.after_gold_filter.n_relations,6
by_stage.after_gold_filter.n_hierarchy,58
by_stage.after_gold_filter.coverage,0.8889
by_stage.after_gold_filter.precision,1.0
by_stage.after_gold_filter.recall,0.8889
by_stage.after_gold_filter.relation_recall,0.3125
by_stage.after_gold_filter.relation_precision,1.0
by_stage.after_gold_filter.hierarchy_recall,1.0
by_stage.after_gold_filter.hierarchy_precision,0.9828
