metric,value
coverage,0.26881720430107525
precision,0.423728813559322
recall,0.26881720430107525
errors,{"hallucinations": 0, "plausible_out_of_ontology": 34, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,30
structural.hierarchy_coverage,0.576271186440678
extraction_only.coverage,0.21505376344086022
extraction_only.precision,0.3225806451612903
extraction_only.recall,0.21505376344086022
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,3
extraction_only.structural.hierarchy_coverage,0.0967741935483871
extraction_only.relations.n_generated,46
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.587
extraction_only.relations.recall,0.3889
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.26881720430107525
clinical_only.precision,0.423728813559322
clinical_only.recall,0.26881720430107525
relations.n_generated,56
relations.n_gold,18
relations.precision,0.6607
relations.recall,0.3889
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,True
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,30
hierarchy.n_gold,76
hierarchy.precision,0.2333
hierarchy.recall,0.0921
hierarchy.matched,7
by_stratum.core.n_generated,54
by_stratum.core.precision,0.37037037037037035
by_stratum.core.recall,0.21505376344086022
by_stratum.core.coverage,0.21505376344086022
by_stage.extraction.n_classes,62
by_stage.extraction.n_relations,46
by_stage.extraction.n_hierarchy,3
by_stage.extraction.coverage,0.2151
by_stage.extraction.precision,0.3226
by_stage.extraction.recall,0.2151
by_stage.extraction.relation_recall,0.3889
by_stage.extraction.relation_precision,0.587
by_stage.extraction.hierarchy_recall,0.0132
by_stage.extraction.hierarchy_precision,0.3333
by_stage.after_text_grounded.n_classes,66
by_stage.after_text_grounded.n_relations,60
by_stage.after_text_grounded.n_hierarchy,34
by_stage.after_text_grounded.coverage,0.2473
by_stage.after_text_grounded.precision,0.3485
by_stage.after_text_grounded.recall,0.2473
by_stage.after_text_grounded.relation_recall,0.3889
by_stage.after_text_grounded.relation_precision,0.5833
by_stage.after_text_grounded.hierarchy_recall,0.1053
by_stage.after_text_grounded.hierarchy_precision,0.2353
by_stage.after_cleanup.n_classes,59
by_stage.after_cleanup.n_relations,49
by_stage.after_cleanup.n_hierarchy,31
by_stage.after_cleanup.coverage,0.2688
by_stage.after_cleanup.precision,0.4237
by_stage.after_cleanup.recall,0.2688
by_stage.after_cleanup.relation_recall,0.3333
by_stage.after_cleanup.relation_precision,0.6122
by_stage.after_cleanup.hierarchy_recall,0.1184
by_stage.after_cleanup.hierarchy_precision,0.2903
by_stage.after_orphan_rescue.n_classes,59
by_stage.after_orphan_rescue.n_relations,56
by_stage.after_orphan_rescue.n_hierarchy,34
by_stage.after_orphan_rescue.coverage,0.2688
by_stage.after_orphan_rescue.precision,0.4237
by_stage.after_orphan_rescue.recall,0.2688
by_stage.after_orphan_rescue.relation_recall,0.3889
by_stage.after_orphan_rescue.relation_precision,0.6607
by_stage.after_orphan_rescue.hierarchy_recall,0.1184
by_stage.after_orphan_rescue.hierarchy_precision,0.2647
by_stage.after_llm_refinement.n_classes,59
by_stage.after_llm_refinement.n_relations,56
by_stage.after_llm_refinement.n_hierarchy,30
by_stage.after_llm_refinement.coverage,0.2688
by_stage.after_llm_refinement.precision,0.4237
by_stage.after_llm_refinement.recall,0.2688
by_stage.after_llm_refinement.relation_recall,0.3889
by_stage.after_llm_refinement.relation_precision,0.6607
by_stage.after_llm_refinement.hierarchy_recall,0.0921
by_stage.after_llm_refinement.hierarchy_precision,0.2333
