metric,value
coverage,0.3870967741935484
precision,0.1422924901185771
recall,0.3870967741935484
errors,{"hallucinations": 0, "plausible_out_of_ontology": 217, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,168
structural.hierarchy_coverage,0.7154150197628458
extraction_only.coverage,0.3763440860215054
extraction_only.precision,0.14583333333333334
extraction_only.recall,0.3763440860215054
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,9
extraction_only.structural.hierarchy_coverage,0.0625
extraction_only.relations.n_generated,105
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.2952
extraction_only.relations.recall,0.3889
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.3870967741935484
clinical_only.precision,0.1422924901185771
clinical_only.recall,0.3870967741935484
relations.n_generated,96
relations.n_gold,18
relations.precision,0.3021
relations.recall,0.4444
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,168
hierarchy.n_gold,76
hierarchy.precision,0.0298
hierarchy.recall,0.0658
hierarchy.matched,5
by_stratum.core.n_generated,207
by_stratum.core.precision,0.15942028985507245
by_stratum.core.recall,0.3548387096774194
by_stratum.core.coverage,0.3548387096774194
by_stage.extraction.n_classes,240
by_stage.extraction.n_relations,105
by_stage.extraction.n_hierarchy,9
by_stage.extraction.coverage,0.3763
by_stage.extraction.precision,0.1458
by_stage.extraction.recall,0.3763
by_stage.extraction.relation_recall,0.3889
by_stage.extraction.relation_precision,0.2952
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,279
by_stage.after_text_grounded.n_relations,138
by_stage.after_text_grounded.n_hierarchy,259
by_stage.after_text_grounded.coverage,0.4194
by_stage.after_text_grounded.precision,0.1398
by_stage.after_text_grounded.recall,0.4194
by_stage.after_text_grounded.relation_recall,0.4444
by_stage.after_text_grounded.relation_precision,0.2681
by_stage.after_text_grounded.hierarchy_recall,0.1053
by_stage.after_text_grounded.hierarchy_precision,0.0309
by_stage.after_cleanup.n_classes,261
by_stage.after_cleanup.n_relations,115
by_stage.after_cleanup.n_hierarchy,174
by_stage.after_cleanup.coverage,0.3871
by_stage.after_cleanup.precision,0.1379
by_stage.after_cleanup.recall,0.3871
by_stage.after_cleanup.relation_recall,0.4444
by_stage.after_cleanup.relation_precision,0.2696
by_stage.after_cleanup.hierarchy_recall,0.0658
by_stage.after_cleanup.hierarchy_precision,0.0287
by_stage.after_orphan_rescue.n_classes,261
by_stage.after_orphan_rescue.n_relations,115
by_stage.after_orphan_rescue.n_hierarchy,174
by_stage.after_orphan_rescue.coverage,0.3871
by_stage.after_orphan_rescue.precision,0.1379
by_stage.after_orphan_rescue.recall,0.3871
by_stage.after_orphan_rescue.relation_recall,0.4444
by_stage.after_orphan_rescue.relation_precision,0.2696
by_stage.after_orphan_rescue.hierarchy_recall,0.0658
by_stage.after_orphan_rescue.hierarchy_precision,0.0287
by_stage.after_llm_refinement.n_classes,253
by_stage.after_llm_refinement.n_relations,96
by_stage.after_llm_refinement.n_hierarchy,168
by_stage.after_llm_refinement.coverage,0.3871
by_stage.after_llm_refinement.precision,0.1423
by_stage.after_llm_refinement.recall,0.3871
by_stage.after_llm_refinement.relation_recall,0.4444
by_stage.after_llm_refinement.relation_precision,0.3021
by_stage.after_llm_refinement.hierarchy_recall,0.0658
by_stage.after_llm_refinement.hierarchy_precision,0.0298
