metric,value
coverage,0.967741935483871
precision,0.2803738317757009
recall,0.967741935483871
errors,{"hallucinations": 0, "plausible_out_of_ontology": 231, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,248
structural.hierarchy_coverage,0.8286604361370716
extraction_only.coverage,0.45161290322580644
extraction_only.precision,0.13504823151125403
extraction_only.recall,0.45161290322580644
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,12
extraction_only.structural.hierarchy_coverage,0.06752411575562701
extraction_only.relations.n_generated,178
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.3146
extraction_only.relations.recall,0.5
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,True
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.967741935483871
clinical_only.precision,0.2803738317757009
clinical_only.recall,0.967741935483871
relations.n_generated,194
relations.n_gold,18
relations.precision,0.2629
relations.recall,0.6111
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,248
hierarchy.n_gold,76
hierarchy.precision,0.2742
hierarchy.recall,0.8947
hierarchy.matched,68
by_stratum.core.n_generated,218
by_stratum.core.precision,0.1834862385321101
by_stratum.core.recall,0.43010752688172044
by_stratum.core.coverage,0.43010752688172044
by_stage.extraction.n_classes,311
by_stage.extraction.n_relations,178
by_stage.extraction.n_hierarchy,12
by_stage.extraction.coverage,0.4516
by_stage.extraction.precision,0.135
by_stage.extraction.recall,0.4516
by_stage.extraction.relation_recall,0.5
by_stage.extraction.relation_precision,0.2865
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,373
by_stage.after_text_grounded.n_relations,245
by_stage.after_text_grounded.n_hierarchy,339
by_stage.after_text_grounded.coverage,0.4839
by_stage.after_text_grounded.precision,0.1206
by_stage.after_text_grounded.recall,0.4839
by_stage.after_text_grounded.relation_recall,0.5
by_stage.after_text_grounded.relation_precision,0.3347
by_stage.after_text_grounded.hierarchy_recall,0.25
by_stage.after_text_grounded.hierarchy_precision,0.056
by_stage.after_sgc.n_classes,398
by_stage.after_sgc.n_relations,253
by_stage.after_sgc.n_hierarchy,394
by_stage.after_sgc.coverage,0.6882
by_stage.after_sgc.precision,0.1608
by_stage.after_sgc.recall,0.6882
by_stage.after_sgc.relation_recall,0.7778
by_stage.after_sgc.relation_precision,0.3557
by_stage.after_sgc.hierarchy_recall,0.9737
by_stage.after_sgc.hierarchy_precision,0.1878
by_stage.after_cleanup.n_classes,331
by_stage.after_cleanup.n_relations,146
by_stage.after_cleanup.n_hierarchy,228
by_stage.after_cleanup.coverage,0.9462
by_stage.after_cleanup.precision,0.2659
by_stage.after_cleanup.recall,0.9462
by_stage.after_cleanup.relation_recall,0.6111
by_stage.after_cleanup.relation_precision,0.3151
by_stage.after_cleanup.hierarchy_recall,0.8158
by_stage.after_cleanup.hierarchy_precision,0.2719
by_stage.after_orphan_rescue.n_classes,334
by_stage.after_orphan_rescue.n_relations,194
by_stage.after_orphan_rescue.n_hierarchy,243
by_stage.after_orphan_rescue.coverage,0.9677
by_stage.after_orphan_rescue.precision,0.2695
by_stage.after_orphan_rescue.recall,0.9677
by_stage.after_orphan_rescue.relation_recall,0.6111
by_stage.after_orphan_rescue.relation_precision,0.2629
by_stage.after_orphan_rescue.hierarchy_recall,0.8289
