metric,value
coverage,0.16129032258064516
precision,0.6
recall,0.16129032258064516
errors,{"hallucinations": 0, "plausible_out_of_ontology": 10, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,14
structural.hierarchy_coverage,0.72
extraction_only.coverage,0.15053763440860216
extraction_only.precision,0.45161290322580644
extraction_only.recall,0.15053763440860216
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,3
extraction_only.structural.hierarchy_coverage,0.16129032258064516
extraction_only.relations.n_generated,13
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.6154
extraction_only.relations.recall,0.2222
extraction_only.relations.per_gold_relation.hasDemographicData,False
extraction_only.relations.per_gold_relation.hasSurgicalProcedure,False
extraction_only.relations.per_gold_relation.hasMonitoringData,True
extraction_only.relations.per_gold_relation.receivesTherapy,False
extraction_only.relations.per_gold_relation.targetsCondition,False
extraction_only.relations.per_gold_relation.monitoringIndicatesCondition,False
extraction_only.relations.per_gold_relation.hasClinicalAssessment,True
extraction_only.relations.per_gold_relation.hasOutcome,False
extraction_only.relations.per_gold_relation.hasLaboratoryValue,False
extraction_only.relations.per_gold_relation.hasNursingIntervention,False
extraction_only.relations.per_gold_relation.hasSession,False
extraction_only.relations.per_gold_relation.hasTimepoint,False
extraction_only.relations.per_gold_relation.hasObservation,False
extraction_only.relations.per_gold_relation.measuresParameter,False
extraction_only.relations.per_gold_relation.producedBySensor,True
extraction_only.relations.per_gold_relation.hasQualityAssessment,False
extraction_only.relations.per_gold_relation.associatedWithCondition,False
extraction_only.relations.per_gold_relation.affectedByTreatment,True
clinical_only.coverage,0.16129032258064516
clinical_only.precision,0.6
clinical_only.recall,0.16129032258064516
relations.n_generated,15
relations.n_gold,18
relations.precision,0.6
relations.recall,0.2778
relations.per_gold_relation.hasDemographicData,False
relations.per_gold_relation.hasSurgicalProcedure,False
relations.per_gold_relation.hasMonitoringData,True
relations.per_gold_relation.receivesTherapy,True
relations.per_gold_relation.targetsCondition,False
relations.per_gold_relation.monitoringIndicatesCondition,False
relations.per_gold_relation.hasClinicalAssessment,False
relations.per_gold_relation.hasOutcome,False
relations.per_gold_relation.hasLaboratoryValue,False
relations.per_gold_relation.hasNursingIntervention,False
relations.per_gold_relation.hasSession,True
relations.per_gold_relation.hasTimepoint,True
relations.per_gold_relation.hasObservation,False
relations.per_gold_relation.measuresParameter,False
relations.per_gold_relation.producedBySensor,True
relations.per_gold_relation.hasQualityAssessment,False
relations.per_gold_relation.associatedWithCondition,False
relations.per_gold_relation.affectedByTreatment,False
hierarchy.n_generated,14
hierarchy.n_gold,76
hierarchy.precision,0.0
hierarchy.recall,0.0
hierarchy.matched,0
by_stratum.core.n_generated,23
by_stratum.core.precision,0.6086956521739131
by_stratum.core.recall,0.15053763440860216
by_stratum.core.coverage,0.15053763440860216
by_stage.extraction.n_classes,31
by_stage.extraction.n_relations,13
by_stage.extraction.n_hierarchy,3
by_stage.extraction.coverage,0.1505
by_stage.extraction.precision,0.4516
by_stage.extraction.recall,0.1505
by_stage.extraction.relation_recall,0.2778
by_stage.extraction.relation_precision,0.6154
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,33
by_stage.after_text_grounded.n_relations,22
by_stage.after_text_grounded.n_hierarchy,21
by_stage.after_text_grounded.coverage,0.1613
by_stage.after_text_grounded.precision,0.4545
by_stage.after_text_grounded.recall,0.1613
by_stage.after_text_grounded.relation_recall,0.3889
by_stage.after_text_grounded.relation_precision,0.5
by_stage.after_text_grounded.hierarchy_recall,0.0
by_stage.after_text_grounded.hierarchy_precision,0.0
by_stage.after_cleanup.n_classes,26
by_stage.after_cleanup.n_relations,13
by_stage.after_cleanup.n_hierarchy,14
by_stage.after_cleanup.coverage,0.1613
by_stage.after_cleanup.precision,0.5769
by_stage.after_cleanup.recall,0.1613
by_stage.after_cleanup.relation_recall,0.2778
by_stage.after_cleanup.relation_precision,0.6923
by_stage.after_cleanup.hierarchy_recall,0.0
by_stage.after_cleanup.hierarchy_precision,0.0
by_stage.after_orphan_rescue.n_classes,26
by_stage.after_orphan_rescue.n_relations,16
by_stage.after_orphan_rescue.n_hierarchy,15
by_stage.after_orphan_rescue.coverage,0.1613
by_stage.after_orphan_rescue.precision,0.5769
by_stage.after_orphan_rescue.recall,0.1613
by_stage.after_orphan_rescue.relation_recall,0.2778
by_stage.after_orphan_rescue.relation_precision,0.5625
by_stage.after_orphan_rescue.hierarchy_recall,0.0
by_stage.after_orphan_rescue.hierarchy_precision,0.0
by_stage.after_llm_refinement.n_classes,25
by_stage.after_llm_refinement.n_relations,15
by_stage.after_llm_refinement.n_hierarchy,14
by_stage.after_llm_refinement.coverage,0.1613
by_stage.after_llm_refinement.precision,0.6
by_stage.after_llm_refinement.recall,0.1613
by_stage.after_llm_refinement.relation_recall,0.2778
by_stage.after_llm_refinement.relation_precision,0.6
by_stage.after_llm_refinement.hierarchy_recall,0.0
by_stage.after_llm_refinement.hierarchy_precision,0.0
