triple_index,kind,subject,relation,object,evidence,verdict,revise_subtype,suggested_subject,suggested_relation,suggested_object,justification,confidence,stage_b_justification,stage_b_confidence,flags
0,relation,Decompressive Craniectomy,has outcome,Outcome,The outcome was captured at six months using the extended Glasgow Outcome Scale (GOSE).,accept_direct,,,,,Decompressive Craniectomy hasOutcome Outcome is a valid relationship as surgical procedures directly relate to patient outcome measures in neurointensive care.,0.9,,,
1,relation,Traumatic Brain Injury,targets condition,Intracranial Pressure (ICP),one of the cornerstones of brain-protective strategies is to reduce and control intracranial pressure (ICP),accept_indirect,,,,,Traumatic Brain Injury targets condition Intracranial Pressure via the relationship that ICP is a critical parameter in neurological assessments related to TBI.,0.85,,,
2,relation,Intracranial Hypertension,is associated with,Mortality,Uncontrollable intracranial hypertension is a major cause of death in patients with severe traumatic brain injury.,accept_direct,,,,,"Intracranial Hypertension is associated with Mortality as it is a major cause of death in patients with severe traumatic brain injury, directly linking the two classes.",0.9,,,
3,relation,Intracranial Hypertension,targets condition,Decompressive Craniectomy,patients with intracranial hypertension treated conservatively were excluded.,accept_direct,,,,,Intracranial Hypertension targets condition Decompressive Craniectomy is a valid direct relationship as the procedure aims to address the condition.,0.9,,,
4,relation,GCS Assessment,assesses,Motor Impairment,The Glasgow Motors Score was used for assessing motor impairment.,accept_direct,,,,,GCS Assessment assesses Motor Impairment directly as it is a clinical scale used to evaluate neurological status following brain injury.,0.9,,,
5,relation,Pupil Assessment,monitoring indicates condition,Motor Impairment,Pupil abnormalities were seen in 34.4% of our patients.,revise,4.4,Pupil Assessment,assesses,Motor Impairment,The relation 'monitoring indicates condition' should be changed to 'assesses' as 'Pupil Assessment' assesses 'Motor Impairment' in the context of neurological evaluation.,0.8,The relation 'monitoring indicates condition' should be 'assesses' as 'Pupil Assessment' assesses 'Motor Impairment' in neurological evaluation.,1.0,
6,relation,Secondary Insult,is associated with,Hypotension,"Hypoxia and arterial hypotension were found in 10.0% and 6.1%, respectively.",accept_direct,,,,,"Secondary Insult is associated with Hypotension as both are valid classes in the neurointensive care domain, and the relationship holds directly between them.",0.9,,,
7,relation,Traumatic Brain Injury,has outcome,Outcome,A more extensive description is provided in the Supplementary Appendix.,accept_direct,,,,,The relationship 'Traumatic Brain Injury has outcome Outcome' is valid as TBI is associated with patient outcomes in the neurointensive care context.,0.9,,,
8,relation,Traumatic Brain Injury,is treated with,Decompressive Craniectomy,Decompressive craniectomy (DC) as a last-tier intervention,accept_direct,,,,,The relationship 'Traumatic Brain Injury is treated with Decompressive Craniectomy' is valid as decompressive craniectomy is a recognized surgical procedure for treating TBI.,0.95,,,
9,relation,Decompressive Craniectomy,is monitored by,Intracranial Pressure (ICP),Mean intracranial pressure (ICP) pre-Decompressive craniectomy (DC),reject,,,,,The relation 'is monitored by' does not hold between 'Decompressive Craniectomy' and 'Intracranial Pressure'; surgical procedures are not monitored by parameters directly.,0.9,,,
10,relation,Intracranial Pressure (ICP),is influenced by,Cerebral Perfusion Pressure (CPP),Mean intracranial pressure (ICP)/Cerebral Perfusion Pressure (CPP),accept_direct,,,,,The relationship 'Intracranial Pressure (ICP) is influenced by Cerebral Perfusion Pressure (CPP)' is clinically valid as CPP affects cerebral blood flow and thus ICP.,0.95,,,
11,relation,Decompressive Craniectomy,is administered during,Barbiturates,Decompressive craniectomy (DC) + thiopental can be referring to barbiturate administration,accept_indirect,,,,,Decompressive Craniectomy is associated with Barbiturates via the chain: Decompressive Craniectomy is a Surgical Procedure → Barbiturates are used for sedation during such procedures.,0.7,,,low_evidence
12,relation,Decompressive Craniectomy,targets condition,Traumatic Intracranial Hypertension,Decompressive craniectomy (DC) in a patient-tailored combination with other second and third-tier therapies should maintain its place in the management of severe traumatic intracranial hypertension.,accept_direct,,,,,Decompressive Craniectomy targets Traumatic Intracranial Hypertension as a valid surgical procedure for managing this condition in neurointensive care.,0.95,,,
13,relation,Decompressive Craniectomy,has clinical assessment,GOSe Outcome,outcome was only evaluated in terms of robust extended Glasgow Outcome Scores,revise,4.4,Decompressive Craniectomy,hasOutcome,GOSe Outcome,The relation 'has clinical assessment' should be 'hasOutcome' as GOSe Outcome is an outcome measure related to the surgical procedure Decompressive Craniectomy.,0.9,The relation 'has clinical assessment' should be 'hasOutcome' as GOSe Outcome is an outcome measure related to Decompressive Craniectomy.,1.0,
14,relation,Decompressive Craniectomy,reduces,Mean Intracranial Pressure,it effectively reduces Mean intracranial pressure (ICP),accept_direct,,,,,Decompressive Craniectomy reduces Mean Intracranial Pressure is clinically valid as it directly addresses the management of brain injuries.,0.95,,,
15,relation,Intracranial Pressure (ICP),has monitoring data,Traumatic Brain Injury,The BESTIntracranial pressure (ICP) monitoring is still considered to provide important information to detect and prevent secondary injury after severe Traumatic brain injury (TBI).,accept_direct,,,,,Intracranial Pressure (ICP) has monitoring data related to Traumatic Brain Injury (TBI) as both are valid classes in the neurointensive care context.,0.9,,,
16,relation,Intracranial Hypertension,receives therapy,GOSe Outcome,"Intracranial pressures above 20 mmHg lasting longer than 37 min in adults, and longer than 8 min in children, are associated with worse outcomes.",revise,4.4,Intracranial Hypertension,isTreatedWith,Secondary Insult Therapy,"Intracranial Hypertension should not 'receive therapy'; it should be replaced with a specific therapy class, as 'receivesTherapy' requires a therapy object.",0.85,"Intracranial Hypertension should be linked to a specific therapy class, as 'receivesTherapy' is incorrect.",0.9,
17,relation,Cerebral Perfusion Pressure (CPP),has clinical assessment,Intracranial Hypertension,"When the cerebral perfusion pressure is below 50 mmHg, all intracranial pressure insults, regardless of duration, are associated with worse outcome.",revise,4.4,Cerebral Perfusion Pressure,assesses,Intracranial Hypertension,"The relation 'has clinical assessment' should be 'assesses' as CPP is assessed in relation to Intracranial Hypertension, not the other way around.",0.9,The relation 'has clinical assessment' should be 'assesses' as CPP is assessed in relation to Intracranial Hypertension.,1.0,
18,relation,Intracranial Pressure (ICP),has monitoring data,Monitoring Data,The BESTIntracranial pressure (ICP) and mean arterial blood pressure (MAP) monitoring data,accept_direct,,,,,"Intracranial Pressure (ICP) is a Core Monitoring Parameter and Monitoring Data is the top-level class for all monitored values, making the relationship direct.",0.95,,,
19,relation,Monitoring Data,monitoring indicates condition,Condition,the percentage of monitoring time in the red zone during the first day only was a significant independent predictor of mortality,reject,,,,,"The relation 'monitoring indicates condition' is semantically incorrect; monitoring data does not indicate a condition directly, as conditions are broader than specific monitoring parameters.",0.9,,,
20,relation,Intracranial Pressure (ICP),associated with condition,Condition,"when Cerebral Perfusion Pressure (CPP) was below 50 mmHg, almost all The BESTIntracranial pressure (ICP) insults were associated with worse outcome",revise,4.4,Intracranial Pressure (ICP),isAConditionOf,Condition,The relation 'associated with condition' should be replaced with 'isAConditionOf' to accurately reflect the relationship between Intracranial Pressure (ICP) and Condition.,0.85,The relation 'associated with condition' should be 'isAConditionOf' to accurately reflect the relationship between ICP and Condition.,1.0,
21,relation,Traumatic Brain Injury,has monitoring data,Monitoring Data,"The present study autoregulation is intact, the transition curve shifts to the right.",accept_direct,,,,,The relationship 'Traumatic Brain Injury has monitoring data Monitoring Data' is valid as TBI is assessed through monitoring data in neurointensive care.,0.9,,,
22,relation,Traumatic Brain Injury,is associated with,Secondary Brain Injury,"Cerebrovascular pressure autoregulation is often impaired in severe Traumatic brain injury (TBI), and such impairment is such as the relationship between physiological thresholds and outcome.",accept_direct,,,,,"Traumatic Brain Injury is associated with Secondary Brain Injury as a consequence of the primary injury, aligning with clinical understanding.",0.9,,,
23,relation,Cerebral Perfusion Pressure (CPP),receives therapy,Traumatic Brain Injury,"One would expect such change in recommendation to be followed, and hence to lead to alterations in Cerebral Perfusion Pressure (CPP) policy across centres.",revise,4.4,Cerebral Perfusion Pressure,isMonitoredBy,Traumatic Brain Injury,Cerebral Perfusion Pressure (CPP) is a derived parameter and cannot 'receive therapy'; it should be linked to a therapy class instead.,0.9,Cerebral Perfusion Pressure is a physiological parameter and should be linked to monitoring rather than receiving therapy.,0.9,
24,relation,Cerebral Perfusion Pressure (CPP),has monitoring data,Monitoring Data,Cerebral perfusion pressure (CPP 1/4 Blood Pressure (BP)-ICP) monitoring is a good example.,accept_direct,,,,,Cerebral Perfusion Pressure (CPP) is a Core Monitoring Parameter and thus directly has Monitoring Data as per the hierarchical relationship in the preamble.,0.95,,,
25,relation,Vasopressors,receives therapy,Cerebral Perfusion Pressure (CPP),the non-beneficial effect of keeping Cerebral Perfusion Pressure (CPP) above 70 mmHg by administering high doses of vasopressors.,revise,4.4,Vasopressors,isAdministeredDuring,Cerebral Perfusion Pressure,Cerebral Perfusion Pressure (CPP) is not a therapy; it should be replaced with a valid therapy class like 'Vasopressors' for the relation 'receivesTherapy'.,0.85,"Vasopressors is a therapy that affects Cerebral Perfusion Pressure, so the relation should be isAdministeredDuring instead of receivesTherapy.",0.9,
26,relation,Cerebral Perfusion Pressure (CPP),correlates with,Mean Arterial Pressure (MAP),Cerebral Perfusion Pressure (CPP) strongly correlated with Mean Arterial Pressure (MAP).,accept_direct,,,,,Cerebral Perfusion Pressure (CPP) correlates with Mean Arterial Pressure (MAP) as both are valid physiological parameters in neurointensive care.,0.95,,,
27,relation,Cerebral Perfusion Pressure (CPP),receives therapy,Intracranial Pressure (ICP),it is influenced by Intracranial Pressure (ICP) variability,revise,4.4,Cerebral Perfusion Pressure,isInfluencedBy,Intracranial Pressure,Cerebral Perfusion Pressure (CPP) is not a therapy; the relation 'receives therapy' is incorrect and should be replaced with a valid relation that reflects influence.,0.85,"Cerebral Perfusion Pressure is influenced by Intracranial Pressure, so the relation should be isInfluencedBy.",0.9,
28,relation,Cerebral Perfusion Pressure (CPP),receives therapy,Mean Arterial Pressure (MAP),Mean Arterial Pressure (MAP) variability including,revise,4.4,Cerebral Perfusion Pressure,isMonitoredBy,Mean Arterial Pressure,Cerebral Perfusion Pressure (CPP) is not a therapy; it should not 'receive therapy'. The relation should be changed to 'isMonitoredBy' or similar.,0.85,Cerebral Perfusion Pressure is not a therapy; it should be monitored by Mean Arterial Pressure instead.,1.0,
29,relation,Cerebral Perfusion Pressure (CPP),associates with,Acute Respiratory Distress Syndrome,acute respiratory distress syndrome (ARDS) reportedly associated with vasopressors,accept_indirect,,,,,Cerebral Perfusion Pressure (CPP) is associated with Acute Respiratory Distress Syndrome (ARDS) through the pathway of secondary complications in TBI patients.,0.7,,,low_evidence
30,relation,Cerebral Perfusion Pressure (CPP),follows,Guideline,the Brain Trauma Foundation (BTF) guidelines issued this year,accept_indirect,,,,,"Cerebral Perfusion Pressure (CPP) is influenced by clinical guidelines, but the relationship is indirect through the concept of guideline adherence in clinical practice.",0.75,,,
31,relation,Guideline Adherence,receives therapy,Traumatic Brain Injury,Guideline adherence and outcomes in severe adult traumatic brain injury,revise,4.4,Guideline Adherence,affectsOutcome,Traumatic Brain Injury,The relation 'receivesTherapy' is incorrect as 'Traumatic Brain Injury' is not a therapy; it should be 'Guideline Adherence affectsOutcome Traumatic Brain Injury'.,0.9,The relation 'receivesTherapy' is incorrect as 'Traumatic Brain Injury' is not a therapy; it should be 'affectsOutcome'.,1.0,
32,relation,Traumatic Brain Injury,is a risk factor for,Secondary Insult,Traumatically brain injured (TBI) patients are at risk from secondary insults.,accept_direct,,,,,"Traumatic Brain Injury is a recognized risk factor for Secondary Insult in neurointensive care, as stated in the evidence from clinical literature.",0.95,,,
33,relation,Hypotension,is related to,Poor Outcome,"Arterial hypotension, critically low blood pressure, is one of the most dangerous secondary insults and is related to poor outcome in patients.",accept_direct,,,,,Hypotension is related to Poor Outcome as a clinically recognized association in neurointensive care.,0.95,,,
34,relation,Hypotension,affects outcome,Traumatic Brain Injury,there is compelling evidence that even 'minute by minute' hypotension events cumulatively can influence patient outcome.,accept_direct,,,,,"Hypotension affects outcome in TBI patients, as supported by the evidence that hypotension events influence patient outcomes directly.",0.9,,,
35,relation,Hypotension,prognostic factor for,Head Injury,the cumulative duration of arterial hypotensive events is a prognostic factor for their clinical outcome following a head injury.,accept_direct,,,,,"Hypotension is a condition that can be a prognostic factor for Head Injury, as supported by the evidence provided.",0.9,,,
36,relation,Hypotension,associated with condition,Condition,"for with the medical management of sepsis, it has been shown that duration of hypotension before initiation",reject,,,,,'Hypotension associated with Condition' is incorrect; 'Condition' is too generic and does not specifically relate to 'Hypotension' as a type of stroke.,0.7,,,low_evidence
37,relation,Traumatic Brain Injury,has monitoring data,Hypotension,both systolic and mean arterial pressure should be monitored and considered in the definition of hypotension,accept_direct,,,,,The relationship 'Traumatic Brain Injury has monitoring data Hypotension' is valid as hypotension is a monitored condition in TBI patients.,0.9,,,
38,relation,Hypotension,is a condition of,Sepsis,"for with the medical management of sepsis, it has been shown that duration of hypotension before initiation",accept_indirect,,,,,Hypotension is a condition of Sepsis indirectly via the relationship of both being subclasses of Condition.,0.7,,,low_evidence
39,relation,Sepsis,receives therapy,Hypotension,it has been shown that with each hour delay in treatment of hypotension leads to an increase in in-hospital mortality.,revise,4.4,Sepsis,isTreatedWith,Fluid Resuscitation,The relation 'receivesTherapy' is incorrect as 'Hypotension' is not a therapy; it should be replaced with a valid therapy like 'Fluid Resuscitation'.,0.9,"The relation 'receives therapy' is incorrect; 'Fluid Resuscitation' is a valid therapy for 'Sepsis', so it should be 'isTreatedWith'.",1.0,
40,relation,Monitoring Data,has monitoring data,Monitoring Data,sophisticated patient monitoring systems can capture large volumes of streaming physiological data which continuously report on a patient's status.,reject,,,,,The relationship 'Monitoring Data has monitoring data Monitoring Data' is nonsensical as it implies a circular reference without meaningful distinction between subject and object.,0.9,,,
41,relation,Intracranial Pressure (ICP),affects outcome,Hypotension,Impact of Intracranial Pressure (ICP) instability and hypotension on outcome in patients with severe head trauma.,accept_direct,,,,,"Intracranial Pressure (ICP) affects outcome in patients with Hypotension, as both are clinically relevant in neurointensive care settings.",0.9,,,
42,relation,Secondary Insult,worsens,Head Trauma,Measuring the burden of secondary insults in head-injured patients during intensive care.,accept_direct,,,,,Secondary Insult worsens Head Trauma is clinically valid as secondary insults can exacerbate head injuries.,0.9,,,
43,relation,Decompressive Craniectomy,is associated with,Mean Intracranial Pressure,Decompressive craniectomy (DC) resulted in an absolute reduction in median mean Mean intracranial pressure (ICP) from 19.5 group to 13.9 mmHg.,accept_direct,,,,,"Decompressive Craniectomy is associated with Mean Intracranial Pressure as a valid relationship in neurointensive care, reflecting the management of brain injuries.",0.9,,,
44,relation,Decompressive Craniectomy,is associated with,Cerebrovascular Autoregulation,"A control varying effect on Cerebral Perfusion Pressure (CPP) was seen, as well as a trend of reduction in median Pressure Reactivity Index (PRx).",accept_indirect,,,,,Decompressive Craniectomy is associated with Cerebrovascular Autoregulation via the relationship of surgical procedures affecting brain function and blood flow regulation.,0.7,,,low_evidence
45,relation,Decompressive Craniectomy,has monitoring data,Monitoring Data,"patient, injury and management variables including physiological monitoring data and administration of thiopental were analysed",accept_direct,,,,,Decompressive Craniectomy hasMonitoringData Monitoring Data is valid as monitoring data is collected during surgical procedures for patient assessment.,0.9,,,
46,relation,Decompressive Craniectomy,is associated with,Intracranial Pressure (ICP),uncontrollable intracranial hypertension is a major cause of death in patients with severe traumatic brain injury.,accept_direct,,,,,"Decompressive Craniectomy is associated with Intracranial Pressure as it is a surgical procedure aimed at relieving pressure on the brain, which directly relates to ICP monitoring.",0.9,,,
47,relation,Decompressive Craniectomy,is treated with,Barbiturates,"Decompressive craniectomy (DC) was chosen as a next step, with or without first having applied third-tier medical therapy with barbiturates.",accept_indirect,,,,,"Decompressive Craniectomy is associated with Barbiturates through the relation 'is treated with', but it is indirect as it involves intermediate concepts of therapy and surgical procedure.",0.7,,,low_evidence
48,relation,Decompressive Craniectomy,affects outcome,Mortality,the results of RESCUEicp showed that Decompressive craniectomy (DC) resulted in lower mortality rates.,accept_direct,,,,,"Decompressive Craniectomy affects Outcome, as it is a surgical procedure that can influence mortality rates in TBI patients.",0.9,,,
49,relation,Monitoring,has outcome,Outcome,the outcome was captured at six months using the extended Glasgow Outcome Scale (GOSE).,accept_direct,,,,,Monitoring hasOutcome Outcome is a valid relationship as Monitoring relates to patient outcomes in neurointensive care.,0.9,,,
50,relation,Patient,has demographic data,Demographic Data,the collection of demographic data from traumatic brain injury (TBI) patients.,accept_direct,,,,,The relationship 'Patient has demographic data Demographic Data' is semantically correct as demographic data is collected for patients in neurointensive care.,0.95,,,
51,relation,Patient,has surgical procedure,Surgical Procedure,the physiological vital functions are extensively monitored.,accept_direct,,,,,Patient hasSurgicalProcedure Surgical Procedure is a valid direct relationship as patients receive surgical procedures during ICU care.,0.95,,,
52,relation,Patient,has monitoring data,Monitoring Data,"The Brain Monitoring with Information Technology (BrainIT) network provides a more standardised and higher resolution data collection mechanism for research groups, organisations and the device industry to conduct multi-centre trials of new health care technology in patients with traumatic brain injury.",accept_direct,,,,,Patient hasMonitoringData MonitoringData is a direct relationship as monitoring data is collected from patients in neurointensive care.,0.95,,,
53,relation,Patient,receives therapy,Therapy,the physiological vital functions are extensively monitored.,accept_direct,,,,,Patient receives therapy is a direct relationship as therapy is a valid class for treatments in the neurointensive care context.,0.95,,,
