metric,value
coverage,0.16129032258064516
precision,0.30612244897959184
recall,0.16129032258064516
errors,{"hallucinations": 0, "plausible_out_of_ontology": 34, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,7
structural.hierarchy_coverage,0.20408163265306123
extraction_only.coverage,0.13978494623655913
extraction_only.precision,0.40625
extraction_only.recall,0.13978494623655913
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,4
extraction_only.structural.hierarchy_coverage,0.1875
extraction_only.relations.n_generated,22
extraction_only.relations.n_gold,18
extraction_only.relations.precision,1.0
extraction_only.relations.recall,0.3333
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,True
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.16129032258064516
clinical_only.precision,0.30612244897959184
clinical_only.recall,0.16129032258064516
relations.n_generated,44
relations.n_gold,18
relations.precision,0.8409
relations.recall,0.5556
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,True
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,7
hierarchy.n_gold,76
hierarchy.precision,0.0
hierarchy.recall,0.0
hierarchy.matched,0
by_stratum.core.n_generated,31
by_stratum.core.precision,0.3870967741935484
by_stratum.core.recall,0.12903225806451613
by_stratum.core.coverage,0.12903225806451613
by_stage.extraction.n_classes,32
by_stage.extraction.n_relations,22
by_stage.extraction.n_hierarchy,4
by_stage.extraction.coverage,0.1398
by_stage.extraction.precision,0.4062
by_stage.extraction.recall,0.1398
by_stage.extraction.relation_recall,0.3333
by_stage.extraction.relation_precision,1.0
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,49
by_stage.after_text_grounded.n_relations,48
by_stage.after_text_grounded.n_hierarchy,8
by_stage.after_text_grounded.coverage,0.1613
by_stage.after_text_grounded.precision,0.3061
by_stage.after_text_grounded.recall,0.1613
by_stage.after_text_grounded.relation_recall,0.5556
by_stage.after_text_grounded.relation_precision,0.8542
by_stage.after_text_grounded.hierarchy_recall,0.0
by_stage.after_text_grounded.hierarchy_precision,0.0
by_stage.after_cleanup.n_classes,49
by_stage.after_cleanup.n_relations,44
by_stage.after_cleanup.n_hierarchy,8
by_stage.after_cleanup.coverage,0.1613
by_stage.after_cleanup.precision,0.3061
by_stage.after_cleanup.recall,0.1613
by_stage.after_cleanup.relation_recall,0.5556
by_stage.after_cleanup.relation_precision,0.8409
by_stage.after_cleanup.hierarchy_recall,0.0
by_stage.after_cleanup.hierarchy_precision,0.0
by_stage.after_orphan_rescue.n_classes,49
by_stage.after_orphan_rescue.n_relations,44
by_stage.after_orphan_rescue.n_hierarchy,9
by_stage.after_orphan_rescue.coverage,0.1613
by_stage.after_orphan_rescue.precision,0.3061
by_stage.after_orphan_rescue.recall,0.1613
by_stage.after_orphan_rescue.relation_recall,0.5556
by_stage.after_orphan_rescue.relation_precision,0.8409
by_stage.after_orphan_rescue.hierarchy_recall,0.0
by_stage.after_orphan_rescue.hierarchy_precision,0.0
by_stage.after_llm_refinement.n_classes,49
by_stage.after_llm_refinement.n_relations,44
by_stage.after_llm_refinement.n_hierarchy,7
by_stage.after_llm_refinement.coverage,0.1613
by_stage.after_llm_refinement.precision,0.3061
by_stage.after_llm_refinement.recall,0.1613
by_stage.after_llm_refinement.relation_recall,0.5556
by_stage.after_llm_refinement.relation_precision,0.8409
by_stage.after_llm_refinement.hierarchy_recall,0.0
by_stage.after_llm_refinement.hierarchy_precision,0.0
